dni_pac , fecha_solicitado , fecha_turno , presento , matricula_med
18902837 , 6/7/1994 , 23/8/1994 , 1 , 87-79-3429
24266557 , 23/5/1979 , 21/7/1979 , 1 , 18-969-4799
48363877 , 16/11/2022 , 1/12/2023 , 0 , 12-566-1323
10242587 , 9/4/1988 , 15/4/1988 , 1 , 12-566-1323
34452826 , 7/10/2016 , 11/8/2016 , 1 , 99-286-5464
24266552 , 17/3/1986 , 6/7/1986 , 1 , 80-302-1890
18902831 , 8/1/1970 , 4/2/1970 , 1 , 43-381-9419
34452820 , 1/1/1970 , 2/10/1970 , 1 , 83-397-1896
28666557 , 24/10/2018 , 21/11/2018 , 1 , 6-862-1290
14642582 , 12/11/1987 , 1/4/1988 , 1 , 49-626-8557
48363880 , 9/1/1970 , 19/1/1970 , 1 , 11-89-2367
28666552 , 16/3/2019 , 17/4/2019 , 1 , 6-862-1290
23302831 , 3/11/1985 , 12/7/1985 , 1 , 38-776-3777
38852827 , 17/1/2017 , 20/3/2017 , 1 , 76-93-4361
28666554 , 8/2/1970 , 3/4/1970 , 1 , 18-969-4799
28666559 , 19/12/1979 , 21/2/1980 , 1 , 80-302-1890
24266558 , 5/2/1995 , 24/2/1995 , 1 , 98-721-1083
10242583 , 5/10/2022 , 10/10/2022 , 0 , 19-906-2636
14642582 , 29/3/1986 , 21/4/1986 , 1 , 43-381-9419
14642591 , 7/5/1972 , 13/6/1972 , 1 , 79-773-308
28666561 , 1/6/1983 , 13/6/1983 , 1 , 10-544-1336
14642590 , 16/6/1977 , 9/1/1977 , 0 , 98-721-1083
34452819 , 16/2/1990 , 3/5/1990 , 1 , 83-397-1896
38852821 , 27/1/1970 , 2/9/1970 , 1 , 11-89-2367
18902829 , 23/2/2021 , 3/10/2021 , 1 , 73-641-3487
43963878 , 6/3/2012 , 4/5/2012 , 1 , 46-148-9236
48363882 , 24/8/1999 , 21/10/1999 , 1 , 76-93-4361
14642587 , 27/8/1988 , 13/10/1988 , 1 , 8-944-6118
38852821 , 25/1/2000 , 17/2/2000 , 1 , 19-906-2636
28666559 , 4/1/1970 , 3/1/1970 , 1 , 10-625-2635
48363882 , 10/8/1978 , 9/7/1978 , 1 , 21-978-218
28666556 , 21/12/1971 , 23/2/1972 , 1 , 87-314-3002
23302835 , 24/3/1970 , 31/5/1970 , 1 , 48-648-3925
24266554 , 12/4/1976 , 25/6/1976 , 1 , 66-885-1601
28666555 , 16/1/1970 , 18/2/1970 , 1 , 46-148-9236
34452823 , 9/3/1986 , 17/5/1986 , 1 , 76-93-4361
10242588 , 30/4/2012 , 5/12/2012 , 0 , 21-978-218
28666555 , 24/4/1984 , 5/5/1984 , 1 , 87-79-3429
28666556 , 29/8/1996 , 21/10/1996 , 1 , 80-302-1890
10242584 , 5/2/1970 , 19/3/1970 , 1 , 79-773-308
14642589 , 30/7/2009 , 8/10/2009 , 1 , 73-641-3487
14642589 , 20/12/1996 , 3/3/1997 , 0 , 3-957-5455
24266558 , 12/3/2021 , 5/9/2021 , 1 , 20-106-1058
10242590 , 12/9/1994 , 27/10/1994 , 1 , 42-106-6046
23302839 , 22/6/2019 , 23/7/2019 , 0 , 21-978-218
10242586 , 26/12/1987 , 15/1/1988 , 0 , 10-625-2635
28666561 , 17/1/2002 , 25/1/2002 , 1 , 10-246-2532
38852826 , 5/1/1970 , 17/2/1970 , 1 , 38-776-3777
43963880 , 13/4/2016 , 7/2/2016 , 0 , 21-978-218
38852819 , 14/5/1982 , 31/7/1982 , 1 , 3-957-5455
43963879 , 9/8/2001 , 23/9/2001 , 0 , 79-773-308
38852827 , 23/12/2019 , 20/1/2020 , 0 , 42-106-6046
34452828 , 8/11/2003 , 24/1/2004 , 0 , 76-81-9297
28666552 , 14/6/2020 , 16/8/2020 , 1 , 87-314-3002
14642583 , 15/9/1973 , 11/5/1973 , 1 , 6-862-1290
43963882 , 1/1/1970 , 30/1/1970 , 0 , 66-479-9156
28666552 , 28/3/1981 , 14/6/1981 , 0 , 86-855-1783
28666557 , 24/5/2001 , 6/6/2001 , 1 , 6-445-805
18902831 , 13/1/2004 , 2/9/2004 , 1 , 49-626-8557
18902837 , 10/11/1991 , 23/12/1991 , 0 , 8-944-6118
43963884 , 2/8/1997 , 29/9/1997 , 1 , 10-246-2532
34452828 , 17/6/1984 , 9/8/1984 , 0 , 43-282-5362
34452822 , 19/11/2018 , 12/10/2018 , 0 , 20-106-1058
10242590 , 14/5/1972 , 19/5/1972 , 1 , 85-623-3585
38852820 , 18/4/1986 , 6/10/1986 , 1 , 48-648-3925
23302835 , 27/10/1993 , 19/1/1994 , 1 , 78-87-2542
23302833 , 8/8/1997 , 10/8/1997 , 0 , 73-641-3487
23302835 , 28/5/2013 , 18/8/2013 , 0 , 83-397-1896
18902834 , 8/1/1984 , 28/1/1984 , 0 , 19-906-2636
28666555 , 30/7/2007 , 9/3/2007 , 0 , 12-88-4730
14642585 , 15/3/1970 , 4/9/1970 , 0 , 38-776-3777
43963883 , 6/9/1988 , 10/10/1988 , 0 , 28-69-3144
48363881 , 4/1/2018 , 3/3/2018 , 0 , 38-776-3777
18902832 , 5/1/1976 , 16/1/1976 , 1 , 9-905-8721
18902833 , 6/1/1970 , 4/2/1970 , 0 , 56-707-9622
10242585 , 28/5/1976 , 24/8/1976 , 1 , 73-641-3487
24266554 , 8/1/1970 , 2/5/1970 , 1 , 9-905-8721
24266560 , 26/2/1984 , 16/4/1984 , 0 , 18-969-4799
34452824 , 3/8/1971 , 9/11/1971 , 1 , 8-944-6118
18902833 , 16/5/2009 , 29/7/2009 , 1 , 3-957-5455
38852820 , 11/4/2012 , 28/5/2012 , 0 , 11-89-2367
28666560 , 19/12/1983 , 2/9/1984 , 0 , 11-89-2367
14642587 , 4/12/1992 , 1/12/1993 , 0 , 79-773-308
28666560 , 26/8/1970 , 14/10/1970 , 0 , 78-87-2542
