﻿matricula , nombre , apellido , telefono , especialidad , activo
03-957-5455 , Jacinta , Ralston , +54(929)89112253 , geriatria , false
04-726-6430 , Victor , Drew , +54(014)44587898 , toxicologia , true
06-445-0805 , Ivory , Gonzales , +54(047)30321236 , cardiologia , true
06-862-1290 , Ria , Zhang , +54(261)33921874 , medicina_interna , true
08-944-6118 , Paul , Gonsalves , +54(922)44627940 , endocrinologia , true
09-905-8721 , Norbert , Driver , +54(982)17319656 , cardiologia , true
10-246-2532 , Kristie , Hutchinson , +54(510)02197957 , oncologia_radioterapica , true
10-544-1336 , Lloyd , Drayton , +54(611)71780491 , gastroenterologia , true
10-625-2635 , Alfonzo , Tarver , +54(369)72863818 , neumologia , false
11-089-2367 , Sharyn , Morse , +54(584)11010592 , geriatria , true
12-088-4730 , Nestor , Bernal , +54(347)27078380 , toxicologia , true
12-566-1323 , Kathi , Bernard , +54(313)88809965 , oncologia_medica , true
15-226-4713 , Mitzie , Ramey , +54(000)12755920 , cardiologia , true
18-969-4799 , Maryjo , Zeller , +54(009)41873478 , endocrinologia , false
19-906-2636 , Cecille , Tapia , +54(796)78919027 , nefrologia , true
20-106-1058 , Berta , Childress , +54(933)85336095 , psiquiatria , true
21-978-0218 , Delmar , Raley , +54(525)99988218 , hepatologia , true
28-069-3144 , Lenna , Gomez , +54(347)41938012 , endocrinologia , true
38-753-2321 , Lina , Childs , +54(245)19388340 , neumologia , true
38-776-3777 , Roseanna , Luce , +54(480)54059016 , angiologia , true
42-068-2932 , Naomi , Ralph , +54(519)09862472 , neumologia , true
42-106-6046 , Hortensia , Morrison , +54(525)63640545 , medicina_interna , false
43-282-5362 , Mina , Rainey , +54(865)00538384 , neumologia , true
43-381-9419 , Katharyn , Ziegler , +54(360)45260102 , psiquiatria , true
44-096-2935 , Agustin , Lucero , +54(260)83140589 , psiquiatria , true
46-148-9236 , Alexis , Gonzalez , +54(018)07338456 , psiquiatria , true
48-648-3925 , Porsha , Morley , +54(382)71997175 , nutriologia , false
49-626-8557 , Jamey , Rains , +54(685)33648359 , anestesiologia , true
51-644-9729 , Harrison , Tate , +54(917)06188046 , toxicologia , true
56-707-9622 , Catharine , Tanner , +54(862)16216320 , farmacologia_clinica , true
59-911-1635 , Elodia , Tang , +54(959)69909412 , nefrologia , true
66-479-9156 , Elaine , Zavala , +54(199)61820819 , hepatologia , true
66-885-1601 , Ursula , Morrissey , +54(264)72632958 , neurologia , false
71-923-9257 , Davida , Childers , +54(982)16643140 , oncologia_radioterapica , true
73-641-3487 , Verla , Zeigler , +54(556)58397422 , oncologia_radioterapica , false
76-081-9297 , Nadine , Luciano , +54(910)97582960 , anestesiologia , true
76-093-4361 , Rita , Driscoll , +54(408)69675788 , neurologia , true
78-087-2542 , Ivory , Zepeda , +54(815)70702189 , medicina_forense , true
79-773-0308 , Meredith , Draper , +54(034)88061216 , cardiologia , true
80-302-1890 , Milford , Hutto , +54(992)02734624 , anestesiologia , true
83-397-1896 , Demetrius , Morris , +54(485)26446557 , genetica , false
84-678-1961 , Jenice , Morrow , +54(187)04110164 , neurologia , true
85-623-3585 , Chuck , Raines , +54(058)14238708 , estomatologia , false
86-848-3881 , Markus , Lucas , +54(709)92379834 , alergologia , true
86-855-1783 , Gwyn , Hutson , +54(516)60988890 , medicina_forense , true
87-079-3429 , Winford , Hutchison , +54(311)21140384 , alergologia , false
87-314-3002 , Anton , Gooch , +54(464)97314391 , nefrologia , true
91-667-6172 , Selina , Gooden , +54(225)84459278 , neumologia , true
98-721-1083 , Ariel , Morrell , +54(621)90781139 , reumatologia , true
99-286-5464 , Asley , Morrill , +54(278)15197212 , hematologia , true
